province,year,track,n,fem_share,female_dummy,n_tie
甘肃,2005,理,1,0.0,0,0
甘肃,2006,文,1,0.0,0,0
甘肃,2007,文,1,1.0,1,0
甘肃,2007,理,1,0.0,0,0
甘肃,2010,理,1,1.0,1,0
甘肃,2011,文,1,1.0,1,0
甘肃,2012,文,1,1.0,1,0
甘肃,2012,理,1,0.0,0,0
甘肃,2014,理,2,0.5,1,0
甘肃,2015,文,1,1.0,1,0
甘肃,2016,文,1,1.0,1,0
甘肃,2016,理,2,0.5,1,0
甘肃,2018,文,1,1.0,1,0
甘肃,2019,文,1,0.0,0,0
甘肃,2019,理,1,0.0,0,0
甘肃,2020,文,1,1.0,1,0
甘肃,2021,理,1,0.0,0,0
甘肃,2022,文,1,1.0,1,0
甘肃,2022,理,1,0.0,0,0
甘肃,2023,理,1,0.0,0,0
福建,2004,文,2,0.5,1,0
福建,2004,理,3,0.6666666666666666,1,0
福建,2005,文,1,0.0,0,0
福建,2005,理,1,0.0,0,0
福建,2006,文,1,0.0,0,0
福建,2006,理,1,1.0,1,0
福建,2007,文,1,1.0,1,0
福建,2007,理,2,1.0,1,0
福建,2008,文,1,0.0,0,0
福建,2008,理,1,1.0,1,0
福建,2009,文,2,1.0,1,0
福建,2009,理,2,1.0,1,0
福建,2010,文,2,0.5,1,0
福建,2010,理,2,1.0,1,0
福建,2011,文,1,1.0,1,0
福建,2011,理,1,1.0,1,0
福建,2012,文,1,1.0,1,0
福建,2012,理,4,0.25,1,0
福建,2013,文,2,1.0,1,0
福建,2013,理,1,0.0,0,0
福建,2014,文,2,0.5,1,0
福建,2014,理,2,0.0,0,0
福建,2015,文,1,1.0,1,0
福建,2015,理,1,0.0,0,0
福建,2016,文,1,1.0,1,0
福建,2016,理,1,0.0,0,0
福建,2017,文,1,0.0,0,0
福建,2019,文,1,1.0,1,0
福建,2019,理,1,0.0,0,0
福建,2020,文,1,1.0,1,0
贵州,2004,文,1,0.0,0,0
贵州,2004,理,1,0.0,0,0
贵州,2005,文,1,1.0,1,0
贵州,2005,理,1,0.0,0,0
贵州,2006,文,2,0.5,1,0
贵州,2006,理,2,1.0,1,0
贵州,2007,文,1,1.0,1,0
贵州,2007,理,2,0.0,0,0
贵州,2008,文,1,1.0,1,0
贵州,2008,理,1,0.0,0,0
贵州,2009,文,1,0.0,0,0
贵州,2010,理,1,0.0,0,0
贵州,2011,文,1,1.0,1,0
贵州,2011,理,1,1.0,1,0
贵州,2012,文,1,0.0,0,0
贵州,2012,理,1,0.0,0,0
贵州,2013,文,3,1.0,1,0
贵州,2013,理,1,0.0,0,0
贵州,2014,文,2,0.5,1,0
贵州,2014,理,2,0.5,1,0
贵州,2015,理,2,0.5,1,0
贵州,2016,文,1,0.0,0,0
贵州,2016,理,2,0.0,0,0
贵州,2017,文,1,1.0,1,0
贵州,2017,理,2,0.5,1,0
贵州,2018,文,1,1.0,1,0
贵州,2019,文,1,1.0,1,0
贵州,2019,理,2,0.5,1,0
贵州,2020,文,1,0.0,0,0
贵州,2020,理,2,0.5,1,0
贵州,2021,文,1,1.0,1,0
贵州,2021,理,1,0.0,0,0
贵州,2022,文,1,0.0,0,0
贵州,2022,理,1,0.0,0,0
贵州,2023,文,2,1.0,1,0
辽宁,2006,文,1,1.0,1,0
辽宁,2006,理,1,0.0,0,0
辽宁,2007,文,1,1.0,1,0
辽宁,2007,理,1,0.0,0,0
辽宁,2008,文,1,1.0,1,0
辽宁,2008,理,1,0.0,0,0
辽宁,2009,文,2,1.0,1,0
辽宁,2009,理,1,1.0,1,0
辽宁,2010,文,2,0.5,1,0
辽宁,2010,理,1,1.0,1,0
辽宁,2011,理,1,0.0,0,0
辽宁,2012,文,1,1.0,1,0
辽宁,2012,理,1,0.0,0,0
辽宁,2013,文,1,1.0,1,0
辽宁,2013,理,2,0.0,0,0
辽宁,2014,文,2,1.0,1,0
辽宁,2016,文,2,0.5,1,0
辽宁,2016,理,1,0.0,0,0
辽宁,2017,文,1,1.0,1,0
辽宁,2018,文,1,0.0,0,0
辽宁,2020,文,1,1.0,1,0
辽宁,2020,理,1,0.0,0,0
重庆,2004,理,1,1.0,1,0
重庆,2005,文,1,1.0,1,0
重庆,2005,理,1,1.0,1,0
重庆,2006,文,1,1.0,1,0
重庆,2006,理,3,0.3333333333333333,1,0
重庆,2007,文,1,0.0,0,0
重庆,2007,理,2,0.5,1,0
重庆,2008,文,2,0.5,1,0
重庆,2008,理,1,1.0,1,0
重庆,2009,文,3,0.3333333333333333,1,0
重庆,2009,理,1,0.0,0,0
重庆,2010,文,2,0.0,0,0
重庆,2010,理,1,0.0,0,0
重庆,2011,文,1,1.0,1,0
重庆,2011,理,1,0.0,0,0
重庆,2012,文,1,0.0,0,0
重庆,2012,理,1,0.0,0,0
重庆,2013,文,1,1.0,1,0
重庆,2013,理,1,0.0,0,0
重庆,2014,理,1,0.0,0,0
重庆,2015,文,2,0.5,1,0
重庆,2015,理,1,1.0,1,0
重庆,2016,文,1,1.0,1,0
重庆,2016,理,1,1.0,1,0
重庆,2017,文,1,1.0,1,0
重庆,2017,理,1,0.0,0,0
重庆,2018,文,1,1.0,1,0
重庆,2018,理,1,0.0,0,0
重庆,2019,文,1,1.0,1,0
重庆,2019,理,1,0.0,0,0
重庆,2020,文,1,1.0,1,0
重庆,2020,理,1,1.0,1,0
陕西,2004,文,1,1.0,1,0
陕西,2004,理,1,1.0,1,0
陕西,2005,文,1,1.0,1,0
陕西,2005,理,1,0.0,0,0
陕西,2006,文,1,1.0,1,0
陕西,2006,理,1,1.0,1,0
