province,year,track,name_anon,gender,total_score,high_school,hs_city,is_tie,is_bonus_adj,college,note
甘肃,2012,理,唐*,M,695,天水九中,NA,0,1,清华建筑,含加分10裸分685;录取清华建筑
甘肃,2012,文,郑*,NA,637,兰州一中,NA,0,0,清华经管,并列;录取清华经管
甘肃,2012,文,郭*,F,637,西北师大附中,NA,0,0,港大,并列;女(eol报道'留着短发的女孩');录取港大
甘肃,2013,理,李*,NA,674,西北师大附中,NA,0,0,清华,录取清华
甘肃,2013,文,祁*,NA,642,西北师大附中,NA,0,0,北大元培,录取北大元培;别名'祁萧'
甘肃,2014,理,柴*,F,687,西北师大附中,NA,0,0,北大,并列;录取北大
甘肃,2014,理,郭*,M,687,庆阳一中,NA,0,0,北大,并列;录取北大
甘肃,2014,文,张*,NA,646,西北师大附中,NA,0,0,清华,录取清华
甘肃,2015,理,王*,NA,676,民乐一中,NA,0,0,清华,录取清华
甘肃,2015,文,惠*,F,660,西北师大附中,NA,0,0,北大,录取北大
甘肃,2016,理,范*,F,690,通渭一中,NA,0,0,清华医学实验班,并列;录取清华医学实验班
甘肃,2016,理,胡*,M,690,西北师大附中,NA,0,0,北大,并列;录取北大
甘肃,2016,理,王*,NA,690,西北师大附中,NA,0,0,清华,并列;录取清华
甘肃,2016,文,李*,F,638,白银十中,NA,0,0,北大,录取北大
甘肃,2017,理,肖*,NA,691,兰州一中,NA,0,0,清华钱学森力学班,录取清华钱学森力学班
甘肃,2017,文,熊*,NA,654,西北师大附中,NA,0,0,北大,录取北大
甘肃,2018,理,朱*,NA,691,定西一中,NA,0,0,清华经管,录取清华经管
甘肃,2018,文,姚*,F,643,平凉一中,NA,0,0,北大,录取北大
甘肃,2019,理,李*,M,694,西北师大附中,NA,0,0,北大元培,并列;录取北大元培
甘肃,2019,理,程*,NA,694,西北师大附中,NA,0,0,清华,并列;录取清华
甘肃,2019,文,杨*,M,666,西北师大附中,NA,0,0,北大,录取北大
甘肃,2020,理,赵*,NA,704,西北师大附中,NA,0,0,清华经管,录取清华经管
甘肃,2020,文,杨*,F,686,民乐一中,NA,0,0,清华经管,录取清华经管
甘肃,2021,理,李*,M,693,西北师大附中,NA,0,0,清华,录取清华
甘肃,2021,文,王*,NA,666,天水一中,NA,0,0,北大,录取北大
甘肃,2022,理,王*,M,674,西北师大附中,NA,0,0,清华,录取清华
甘肃,2022,文,谢*,F,637,兰州衡文中学,NA,0,0,北大文科试验班,复读;录取北大文科试验班
甘肃,2023,理,王*,M,696,西北师大附中,NA,0,0,NA,
甘肃,2023,文,刘*,NA,655,兰炼一中,NA,0,0,北大元培,录取北大元培
甘肃,2024,物理类,马*,NA,702,武威一中,NA,0,0,清华,录取清华
甘肃,2024,历史类,李*,NA,677,北师大庆阳实验学校,NA,0,0,北大元培,录取北大元培
甘肃,2025,物理类,口*,NA,683,平凉一中,NA,0,0,NA,
甘肃,2025,历史类,杨*,NA,690,敦煌中学,NA,0,0,北大,录取北大
甘肃,2026,物理类,安*,NA,706,武威一中,NA,0,0,NA,
甘肃,2026,历史类,王*,F,683,武威一中,NA,0,0,NA,
湖南,1977,文,裴*,NA,NA,安仁一中,NA,0,0,北大历史系考古,录取北大历史系考古
湖南,1979,理,陈*,NA,NA,怀化三中,NA,0,0,中科大,录取中科大
湖南,1980,理,唐*,NA,NA,湘潭市一中,NA,0,0,北大数学,录取北大数学
湖南,1981,理,饶*,M,NA,岳阳县一中,NA,0,0,北大,录取北大
湖南,1983,理,陈*,NA,NA,益阳箴言中学,NA,0,0,清华,录取清华
湖南,1983,文,杨*,NA,NA,邵东三中,NA,0,0,北大,录取北大
湖南,1984,理,曹*,M,NA,益阳箴言中学,NA,0,0,清华,并列;录取清华
湖南,1984,理,陈*,M,NA,新邵一中,NA,0,0,北大,并列;录取北大
湖南,1984,文,汪*,M,NA,湖南师大附中,NA,0,0,北大,录取北大
湖南,1985,理,周*,NA,616,沅江一中,NA,0,0,NA,
湖南,1985,文,杨*,NA,519,湘潭十一中,NA,0,0,北大,录取北大
湖南,1985,外,龙*,NA,547,隆回一中,NA,0,0,复旦中文,文科外语类状元;录取复旦中文
湖南,1986,理,张*,M,NA,武冈二中,NA,0,0,清华现代物理应用,录取清华现代物理应用
湖南,1986,文,刘*,NA,NA,涟源五中,NA,0,0,北师大,录取北师大
湖南,1987,理,胡*,NA,NA,临湘一中,NA,0,0,中科大,录取中科大
湖南,1988,文,李*,F,NA,安仁一中,NA,0,0,北大,女(原文'她');录取北大
湖南,1989,理,李*,NA,NA,临澧太浮镇中学,NA,0,0,中科大,录取中科大
湖南,1989,文,周*,NA,NA,耒阳二中,NA,0,0,北大,录取北大
湖南,1990,理,曾*,NA,NA,冷水江一中,NA,0,0,NA,
湖南,1990,文,彭*,NA,NA,冷水江一中,NA,0,0,NA,
湖南,1991,理,王*,NA,NA,邵东三中,NA,0,0,北大,录取北大
湖南,1992,理,戴*,NA,660,汨罗一中,NA,0,0,清华,录取清华
湖南,1992,文,陈*,NA,NA,岳阳县一中,NA,0,0,北大,并列;录取北大
湖南,1992,文,周*,M,NA,汨罗一中,NA,0,0,人大,并列;录取人大
湖南,1993,文,邓*,NA,NA,桂阳三中,NA,0,0,南京政治学院,并列;录取南京政治学院
湖南,1993,文,戴*,NA,NA,绥宁一中,NA,0,0,NA,并列
湖南,1994,理,游*,NA,675,醴陵一中,NA,0,0,NA,并列
湖南,1994,理,杨*,NA,NA,岳阳县一中,NA,0,0,清华,并列;录取清华
湖南,1994,文,谭*,M,613,醴陵一中,NA,0,0,NA,
湖南,1995,理,李*,NA,675,涟源一中,NA,0,0,清华,录取清华
湖南,1995,文,陈*,M,NA,岳阳县一中,NA,0,0,北大,录取北大
湖南,1996,理,李*,F,657,长沙一中,NA,0,0,清华建筑,女(原文'她');录取清华建筑
湖南,1996,文,欧*,NA,NA,新化一中,NA,0,0,北大社会学,录取北大社会学
湖南,1997,理,秦*,F,NA,郴州一中,NA,0,0,清华自动化,录取清华自动化
湖南,1997,文,刘*,M,NA,冷水江一中,NA,0,0,北大,录取北大
湖南,1998,理,夏*,NA,NA,桃江一中,NA,0,0,清华,录取清华
湖南,1998,文,赵*,M,641,益阳箴言中学,NA,0,0,北大,录取北大
湖南,1999,理,许*,NA,705,株洲二中,NA,0,0,清华,录取清华
湖南,1999,文,龙*,NA,NA,郴州一中,NA,0,0,北大,录取北大
湖南,2000,理,徐*,M,685,长郡中学,NA,0,0,清华计算机,男(原文'他');语113数140英139物147化146;录取清华计算机
湖南,2000,文,宋*,F,675,慈利一中,NA,0,1,北大,含加分;总分状元;录取北大
湖南,2000,文,雷*,F,651,澧县一中,NA,0,0,北大经院,女(原文'她');裸分状元;语137数136外128政126史124;录取北大经院
湖南,2000,外,李*,M,638,湘潭大学子弟学校,NA,0,0,北大外国语德语,男(原文'他');语116数136英136政130史120;录取北大外国语德语
